feature,p_val,pct_valid,pct_ctrl,avg_valid,avg_ctrl,sd_valid,sd_ctrl,esm,valid_group,adj_pval,FC,log(FC),norm_diff
ALK,0.3220067570964349,0.03636363636363636,0.08695652173913043,0.3256569199883602,0.555458398554206,1.6932925464891229,1.8306259541008767,-0.13032490154467427,healthy,0.7441933941784272,0.5862849870233442,-0.7703259807152829,-0.22980147856584576
NRG1,0.35361603776453643,0.07272727272727272,0.13043478260869565,0.49277926330333344,0.872447620624933,1.782615153648807,2.3007764736916205,-0.18447802810078456,healthy,0.8112367925186424,0.5648238950441018,-0.8241269713412712,-0.37966835732159954
PTPRG,0.35515388626901334,0.05454545454545454,0.10869565217391304,0.3947665587217447,0.7151912567222276,1.6641747901128703,2.0842205756260412,-0.16990288134505463,healthy,0.8088176096053442,0.5519734127217772,-0.8573293174821421,-0.3204246980004829
INSR,0.36278167110990434,0.05454545454545454,0.10869565217391304,0.4028443022296999,0.6842846478687951,1.702334507685056,1.986025826669468,-0.15216058117289652,healthy,0.8202020390310881,0.5887086660271551,-0.7643742300320467,-0.28144034563909515
ANGPT2,0.37097522047833587,0.01818181818181818,0.0,0.12091888629166091,0.0,0.8967584615775078,0.0,0.19069251784911853,healthy,0.8326925812175596,inf,inf,0.12091888629166091
COL28A1,0.37097522047833587,0.01818181818181818,0.0,0.14077999872205654,0.0,1.0440524135358449,0.0,0.1906925178491185,healthy,0.8267447770660057,inf,inf,0.14077999872205654
SFRP4,0.37097522047833587,0.01818181818181818,0.0,0.1251298149278547,0.0,0.9279875441585165,0.0,0.1906925178491184,healthy,0.8208813389307857,inf,inf,0.1251298149278547
FLT1,0.37097522047833587,0.01818181818181818,0.0,0.156278903923192,0.0,1.1589953708401441,0.0,0.1906925178491186,healthy,0.8151004844312731,inf,inf,0.156278903923192
SMN2,0.37097522047833587,0.01818181818181818,0.0,0.10954852557120731,0.0,0.8124336096047481,0.0,0.1906925178491185,healthy,0.8094004810436419,inf,inf,0.10954852557120731
FGF10,0.37097522047833587,0.01818181818181818,0.0,0.11353520750633303,0.0,0.8419996341405592,0.0,0.19069251784911842,healthy,0.8037796443697277,inf,inf,0.11353520750633303
EFNB1,0.37097522047833587,0.01818181818181818,0.0,0.11879122309577085,0.0,0.8809792890030989,0.0,0.19069251784911853,healthy,0.7982363364775227,inf,inf,0.11879122309577085
TNFSF10,0.37097522047833587,0.01818181818181818,0.0,0.11763203007479571,0.0,0.8723824834746915,0.0,0.19069251784911845,healthy,0.7927689643098684,inf,inf,0.11763203007479571
HSPG2,0.37097522047833587,0.01818181818181818,0.0,0.11763203007479571,0.0,0.8723824834746915,0.0,0.19069251784911845,healthy,0.7873759781581007,inf,inf,0.11763203007479571
COL5A1,0.37097522047833587,0.01818181818181818,0.0,0.0947327637880176,0.0,0.7025569794830868,0.0,0.19069251784911848,healthy,0.7820558701975729,inf,inf,0.0947327637880176
FZD6,0.37097522047833587,0.01818181818181818,0.0,0.1251298149278547,0.0,0.9279875441585166,0.0,0.1906925178491184,healthy,0.776807173082153,inf,inf,0.1251298149278547
CNR2,0.37097522047833587,0.01818181818181818,0.0,0.15109863621416134,0.0,1.1205774772936812,0.0,0.19069251784911848,healthy,0.7716284585949386,inf,inf,0.15109863621416134
CALCR,0.37097522047833587,0.01818181818181818,0.0,0.17501676025018081,0.0,1.2979590325837753,0.0,0.19069251784911845,healthy,0.766518336352588,inf,inf,0.17501676025018081
BMP6,0.37097522047833587,0.01818181818181818,0.0,0.11098113524618558,0.0,0.8230581273089208,0.0,0.19069251784911845,healthy,0.7614754525607946,inf,inf,0.11098113524618558
ADM2,0.37097522047833587,0.01818181818181818,0.0,0.1409905917644012,0.0,1.0456142133378743,0.0,0.1906925178491185,healthy,0.7564984888185673,inf,inf,0.1409905917644012
CXCR4,0.37097522047833587,0.01818181818181818,0.0,0.156278903923192,0.0,1.1589953708401441,0.0,0.1906925178491186,healthy,0.751586160969096,inf,inf,0.156278903923192
DIO3,0.37097522047833587,0.01818181818181818,0.0,0.11353520750633303,0.0,0.8419996341405592,0.0,0.19069251784911842,healthy,0.7467372179951018,inf,inf,0.11353520750633303
COL4A4,0.37097522047833587,0.01818181818181818,0.0,0.11879122309577085,0.0,0.8809792890030989,0.0,0.19069251784911853,healthy,0.7419504409566717,inf,inf,0.11879122309577085
ADAM2,0.37097522047833587,0.01818181818181818,0.0,0.0947327637880176,0.0,0.7025569794830868,0.0,0.19069251784911848,healthy,0.7372246419696866,inf,inf,0.0947327637880176
GRM2,0.37097522047833587,0.01818181818181818,0.0,0.11879122309577085,0.0,0.8809792890030989,0.0,0.19069251784911853,healthy,0.732558663223043,inf,inf,0.11879122309577085
ITGA3,0.37097522047833587,0.01818181818181818,0.0,0.12091888629166091,0.0,0.8967584615775078,0.0,0.19069251784911853,healthy,0.727951376032961,inf,inf,0.12091888629166091
COL21A1,0.37097522047833587,0.01818181818181818,0.0,0.1596129444307975,0.0,1.1837212770085643,0.0,0.19069251784911848,healthy,0.723401679932755,inf,inf,0.1596129444307975
COL20A1,0.37097522047833587,0.01818181818181818,0.0,0.11098113524618558,0.0,0.8230581273089208,0.0,0.19069251784911845,healthy,0.7189085017965267,inf,inf,0.11098113524618558
ROBO3,0.37097522047833587,0.01818181818181818,0.0,0.1554153887288251,0.0,1.1525913707620972,0.0,0.19069251784911845,healthy,0.7144707949953135,inf,inf,0.1554153887288251
LAMC2,0.37097522047833587,0.01818181818181818,0.0,0.11389325702450455,0.0,0.8446550004355282,0.0,0.19069251784911845,healthy,0.7100875385842993,inf,inf,0.11389325702450455
HTR2C,0.37097522047833587,0.01818181818181818,0.0,0.14940651931859017,0.0,1.1080284025327571,0.0,0.1906925178491185,healthy,0.7057577365197609,inf,inf,0.14940651931859017
